Iteração,Modelo,Acurácia_mean,Acurácia_std,Precisão_mean,Precisão_std,Revocação_mean,Revocação_std,f1_score_mean,f1_score_std,auc_mean,auc_std,tempo_medio_treinamento
1,Decision Tree,0.8771388888888889,0.0010042819009413275,0.5310422384380515,0.03395148286255027,0.009156917995330105,0.0024871268994630766,0.017984604688721956,0.004819427163142812,0.5971010082383911,0.008505093020435162,1.7872639894485474
1,XGBoost,0.8804206349206349,0.0013883445645377903,0.5862328232230226,0.021724339582523806,0.09465089369806254,0.005995212694093402,0.1629295587729263,0.009318138332480153,0.8380332745550522,0.002534066351465683,5.268396878242493
1,KNN,0.8641269841269841,0.0021613691852273055,0.45191015733465684,0.006970014734142921,0.49023330064840154,0.01143883408106039,0.47017935383326526,0.005618898067203296,0.8105126076619602,0.004399888437949389,106.99007635116577
1,Random Forest,0.8790515873015874,0.0013394194524642812,0.5144537814026466,0.00953585718223433,0.29640590174446213,0.01129729887333695,0.37601102057950037,0.010618684855464144,0.867077215321916,0.004133071920655292,64.46889159679412
2,Decision Tree,0.877047619047619,0.0017207037413753973,0.5207556080815425,0.05553730252189632,0.006806934456890133,0.0026068459858141005,0.013412415964198324,0.005074040126009012,0.6005683650636712,0.005750989966595835,1.025423240661621
2,XGBoost,0.8803452380952381,0.0018044912265083683,0.581188185659135,0.023141770276607635,0.09779508413658637,0.007970606771012627,0.16728171442063822,0.01192834893569722,0.8377508414472368,0.004541902016859117,5.631727910041809
2,KNN,0.8638174603174603,0.0015893637398360593,0.45110437446581253,0.007639504391948405,0.493908773477684,0.011779561652235305,0.47144084599106806,0.006996918846747314,0.8103014873440442,0.004584407877637122,101.0108870267868
2,Random Forest,0.8788531746031746,0.0016551425088540796,0.5130601180723353,0.01101509910346156,0.29900383713132983,0.009466148891555426,0.3777005296779241,0.008336957147588824,0.8669660588731405,0.0030940018590742903,60.01444544792175
3,Decision Tree,0.877095238095238,0.002012245204595226,0.5333379584307018,0.07056211775197956,0.008235041182771605,0.0017057790689464756,0.016204551296889105,0.0033006620736836315,0.6011953510819887,0.006909069176059543,1.0105063438415527
3,XGBoost,0.8802222222222221,0.0020948622799079777,0.5798162863016285,0.017577731372540213,0.09559188181741389,0.006618847782276594,0.1640217314313523,0.009836098706576242,0.8378463250521309,0.004930040085196891,5.7597452878952025
3,KNN,0.8641944444444445,0.003021353103822749,0.4521363111111591,0.01030429136326038,0.49146808593317476,0.012839158698987939,0.47092730975377234,0.010349376050698847,0.8103841028335971,0.003693585768808475,101.17642772197723
3,Random Forest,0.8790476190476191,0.0022827637481916585,0.5145320379673493,0.012489617994135008,0.29876765694597796,0.006902262220848262,0.377949175155706,0.006966546417907885,0.8662322623503407,0.0033840178465831773,55.123592257499695
4,Decision Tree,0.8770396825396827,0.002004357183694729,0.5170865151509206,0.09975802651033905,0.005955690656215333,0.0016699330685703332,0.011767191630313567,0.003271347070796875,0.6005931127899891,0.008132749170646688,1.0266610145568849
4,XGBoost,0.8803650793650792,0.0020912961957316443,0.585635079950529,0.012228653804430034,0.0937173478752288,0.005466997068272189,0.16151329770135414,0.008131219355852789,0.8374879202604593,0.004788032434572077,5.603814196586609
4,KNN,0.8637817460317461,0.002639652592677252,0.45077229514543155,0.006573828223999483,0.49144915536707845,0.010085453537737975,0.4701713614892977,0.006431383996897345,0.8099376573194672,0.0054972738433322985,100.6938658952713
4,Random Forest,0.8790555555555557,0.002186633966350259,0.5145240486022901,0.006605460676501827,0.29634065408040405,0.008555707262549327,0.37601547482770636,0.007805054387900165,0.8668284273400649,0.003367586938993567,58.691900205612185
5,Decision Tree,0.8770198412698413,0.0021402431145944806,0.5047785406581061,0.03993951767816817,0.007703287356769945,0.001334709401405977,0.015170257114131763,0.0025981468518988223,0.5994275815353458,0.005801984645866175,1.0310078382492065
5,XGBoost,0.8803769841269841,0.001996489265624803,0.5843510129915632,0.02962040110509795,0.09601565283760236,0.005954825191317835,0.1648321285272416,0.009169394643784221,0.8382246967573245,0.002670642105334059,5.599847078323364
5,KNN,0.8636666666666667,0.0024158943953333104,0.45047711942913093,0.007010142261287332,0.4925397022565405,0.005897529769974766,0.4705324746923215,0.005063366780820939,0.8099116760235872,0.005613636531297889,101.30193881988525
5,Random Forest,0.8791547619047619,0.002204653482198138,0.5151650387863393,0.01101962519651891,0.29860865544727727,0.007367135829858007,0.37801952386401927,0.007666131612788703,0.8664072909067088,0.001999214740300734,58.63782885074615
